group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
alloc_init,,,,,1003041.0,ns,15217
alloc_init,,,,,2019666.0,ns,30434
alloc_init,,,,,3085833.0,ns,45651
alloc_init,,,,,4082166.0,ns,60868
alloc_init,,,,,4917125.0,ns,76085
alloc_init,,,,,5888833.0,ns,91302
alloc_init,,,,,6967458.0,ns,106519
alloc_init,,,,,7858959.0,ns,121736
alloc_init,,,,,8910250.0,ns,136953
alloc_init,,,,,9821292.0,ns,152170
alloc_init,,,,,10809916.0,ns,167387
alloc_init,,,,,11831541.0,ns,182604
alloc_init,,,,,12856167.0,ns,197821
alloc_init,,,,,13825209.0,ns,213038
alloc_init,,,,,14807000.0,ns,228255
alloc_init,,,,,15826833.0,ns,243472
alloc_init,,,,,16813750.0,ns,258689
alloc_init,,,,,17827000.0,ns,273906
alloc_init,,,,,18793334.0,ns,289123
alloc_init,,,,,19802083.0,ns,304340
alloc_init,,,,,20744416.0,ns,319557
alloc_init,,,,,21756458.0,ns,334774
alloc_init,,,,,22715334.0,ns,349991
alloc_init,,,,,23721834.0,ns,365208
alloc_init,,,,,24680000.0,ns,380425
alloc_init,,,,,25659041.0,ns,395642
alloc_init,,,,,26893416.0,ns,410859
alloc_init,,,,,27644416.0,ns,426076
alloc_init,,,,,28710083.0,ns,441293
alloc_init,,,,,29628709.0,ns,456510
alloc_init,,,,,30628917.0,ns,471727
alloc_init,,,,,31611500.0,ns,486944
alloc_init,,,,,32666375.0,ns,502161
alloc_init,,,,,33634166.0,ns,517378
alloc_init,,,,,34542000.0,ns,532595
alloc_init,,,,,35602417.0,ns,547812
alloc_init,,,,,36615375.0,ns,563029
alloc_init,,,,,37531625.0,ns,578246
alloc_init,,,,,38535292.0,ns,593463
alloc_init,,,,,39560750.0,ns,608680
alloc_init,,,,,40556750.0,ns,623897
alloc_init,,,,,41576625.0,ns,639114
alloc_init,,,,,42513375.0,ns,654331
alloc_init,,,,,43518958.0,ns,669548
alloc_init,,,,,44505209.0,ns,684765
alloc_init,,,,,45476625.0,ns,699982
alloc_init,,,,,46506500.0,ns,715199
alloc_init,,,,,47471333.0,ns,730416
alloc_init,,,,,48533875.0,ns,745633
alloc_init,,,,,49409083.0,ns,760850
alloc_init,,,,,50439208.0,ns,776067
alloc_init,,,,,51932666.0,ns,791284
alloc_init,,,,,52384542.0,ns,806501
alloc_init,,,,,53413042.0,ns,821718
alloc_init,,,,,54333833.0,ns,836935
alloc_init,,,,,55317416.0,ns,852152
alloc_init,,,,,56386125.0,ns,867369
alloc_init,,,,,57395792.0,ns,882586
alloc_init,,,,,58250417.0,ns,897803
alloc_init,,,,,59308833.0,ns,913020
alloc_init,,,,,60296084.0,ns,928237
alloc_init,,,,,61265625.0,ns,943454
alloc_init,,,,,62292750.0,ns,958671
alloc_init,,,,,63296042.0,ns,973888
alloc_init,,,,,64232125.0,ns,989105
alloc_init,,,,,65248291.0,ns,1004322
alloc_init,,,,,66300166.0,ns,1019539
alloc_init,,,,,67268292.0,ns,1034756
alloc_init,,,,,68092292.0,ns,1049973
alloc_init,,,,,69295542.0,ns,1065190
alloc_init,,,,,70221709.0,ns,1080407
alloc_init,,,,,71369333.0,ns,1095624
alloc_init,,,,,72356375.0,ns,1110841
alloc_init,,,,,73421417.0,ns,1126058
alloc_init,,,,,74180042.0,ns,1141275
alloc_init,,,,,75243584.0,ns,1156492
alloc_init,,,,,76186833.0,ns,1171709
alloc_init,,,,,77129750.0,ns,1186926
alloc_init,,,,,78066583.0,ns,1202143
alloc_init,,,,,79084750.0,ns,1217360
alloc_init,,,,,80218125.0,ns,1232577
alloc_init,,,,,81130958.0,ns,1247794
alloc_init,,,,,82104209.0,ns,1263011
alloc_init,,,,,83125292.0,ns,1278228
alloc_init,,,,,84221708.0,ns,1293445
alloc_init,,,,,85155500.0,ns,1308662
alloc_init,,,,,86252500.0,ns,1323879
alloc_init,,,,,87155750.0,ns,1339096
alloc_init,,,,,88076875.0,ns,1354313
alloc_init,,,,,89023459.0,ns,1369530
alloc_init,,,,,89981208.0,ns,1384747
alloc_init,,,,,91110500.0,ns,1399964
alloc_init,,,,,92118417.0,ns,1415181
alloc_init,,,,,93019542.0,ns,1430398
alloc_init,,,,,93972792.0,ns,1445615
alloc_init,,,,,94936542.0,ns,1460832
alloc_init,,,,,96066834.0,ns,1476049
alloc_init,,,,,97032458.0,ns,1491266
alloc_init,,,,,98081416.0,ns,1506483
alloc_init,,,,,98987875.0,ns,1521700
