group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
alloc_tagged,,,,,1004208.0,ns,101981
alloc_tagged,,,,,1975084.0,ns,203962
alloc_tagged,,,,,3069500.0,ns,305943
alloc_tagged,,,,,4143625.0,ns,407924
alloc_tagged,,,,,4988792.0,ns,509905
alloc_tagged,,,,,5935625.0,ns,611886
alloc_tagged,,,,,6998334.0,ns,713867
alloc_tagged,,,,,7903208.0,ns,815848
alloc_tagged,,,,,8928917.0,ns,917829
alloc_tagged,,,,,9883250.0,ns,1019810
alloc_tagged,,,,,10888083.0,ns,1121791
alloc_tagged,,,,,11884916.0,ns,1223772
alloc_tagged,,,,,12897583.0,ns,1325753
alloc_tagged,,,,,13832208.0,ns,1427734
alloc_tagged,,,,,14847000.0,ns,1529715
alloc_tagged,,,,,15821333.0,ns,1631696
alloc_tagged,,,,,16879167.0,ns,1733677
alloc_tagged,,,,,17815209.0,ns,1835658
alloc_tagged,,,,,18784458.0,ns,1937639
alloc_tagged,,,,,19795500.0,ns,2039620
alloc_tagged,,,,,20782166.0,ns,2141601
alloc_tagged,,,,,21793458.0,ns,2243582
alloc_tagged,,,,,22745875.0,ns,2345563
alloc_tagged,,,,,23783541.0,ns,2447544
alloc_tagged,,,,,24724083.0,ns,2549525
alloc_tagged,,,,,25724500.0,ns,2651506
alloc_tagged,,,,,26683166.0,ns,2753487
alloc_tagged,,,,,27685834.0,ns,2855468
alloc_tagged,,,,,28686417.0,ns,2957449
alloc_tagged,,,,,29695834.0,ns,3059430
alloc_tagged,,,,,30713542.0,ns,3161411
alloc_tagged,,,,,31650375.0,ns,3263392
alloc_tagged,,,,,32682292.0,ns,3365373
alloc_tagged,,,,,33626375.0,ns,3467354
alloc_tagged,,,,,34878666.0,ns,3569335
alloc_tagged,,,,,35641625.0,ns,3671316
alloc_tagged,,,,,36600250.0,ns,3773297
alloc_tagged,,,,,37631250.0,ns,3875278
alloc_tagged,,,,,38617292.0,ns,3977259
alloc_tagged,,,,,39608792.0,ns,4079240
alloc_tagged,,,,,40586917.0,ns,4181221
alloc_tagged,,,,,41569375.0,ns,4283202
alloc_tagged,,,,,42620750.0,ns,4385183
alloc_tagged,,,,,43631375.0,ns,4487164
alloc_tagged,,,,,44566416.0,ns,4589145
alloc_tagged,,,,,45515208.0,ns,4691126
alloc_tagged,,,,,46488583.0,ns,4793107
alloc_tagged,,,,,47548041.0,ns,4895088
alloc_tagged,,,,,48505916.0,ns,4997069
alloc_tagged,,,,,49512583.0,ns,5099050
alloc_tagged,,,,,50481125.0,ns,5201031
alloc_tagged,,,,,51454292.0,ns,5303012
alloc_tagged,,,,,52439833.0,ns,5404993
alloc_tagged,,,,,53494750.0,ns,5506974
alloc_tagged,,,,,54447000.0,ns,5608955
alloc_tagged,,,,,55402875.0,ns,5710936
alloc_tagged,,,,,56599083.0,ns,5812917
alloc_tagged,,,,,57388834.0,ns,5914898
alloc_tagged,,,,,58364125.0,ns,6016879
alloc_tagged,,,,,59422917.0,ns,6118860
alloc_tagged,,,,,60412750.0,ns,6220841
alloc_tagged,,,,,61377000.0,ns,6322822
alloc_tagged,,,,,62389125.0,ns,6424803
alloc_tagged,,,,,63304708.0,ns,6526784
alloc_tagged,,,,,64301541.0,ns,6628765
alloc_tagged,,,,,65275625.0,ns,6730746
alloc_tagged,,,,,66251250.0,ns,6832727
alloc_tagged,,,,,67315875.0,ns,6934708
alloc_tagged,,,,,68311125.0,ns,7036689
alloc_tagged,,,,,69274584.0,ns,7138670
alloc_tagged,,,,,70266833.0,ns,7240651
alloc_tagged,,,,,71272291.0,ns,7342632
alloc_tagged,,,,,72379125.0,ns,7444613
alloc_tagged,,,,,73299000.0,ns,7546594
alloc_tagged,,,,,74185125.0,ns,7648575
alloc_tagged,,,,,77899458.0,ns,7750556
alloc_tagged,,,,,76396959.0,ns,7852537
alloc_tagged,,,,,77173708.0,ns,7954518
alloc_tagged,,,,,78267333.0,ns,8056499
alloc_tagged,,,,,79098917.0,ns,8158480
alloc_tagged,,,,,80208167.0,ns,8260461
alloc_tagged,,,,,81171541.0,ns,8362442
alloc_tagged,,,,,82140958.0,ns,8464423
alloc_tagged,,,,,83153417.0,ns,8566404
alloc_tagged,,,,,84116416.0,ns,8668385
alloc_tagged,,,,,85280416.0,ns,8770366
alloc_tagged,,,,,86508583.0,ns,8872347
alloc_tagged,,,,,87034042.0,ns,8974328
alloc_tagged,,,,,88052041.0,ns,9076309
alloc_tagged,,,,,89065791.0,ns,9178290
alloc_tagged,,,,,90140541.0,ns,9280271
alloc_tagged,,,,,91018500.0,ns,9382252
alloc_tagged,,,,,92094042.0,ns,9484233
alloc_tagged,,,,,93015125.0,ns,9586214
alloc_tagged,,,,,93980625.0,ns,9688195
alloc_tagged,,,,,95102916.0,ns,9790176
alloc_tagged,,,,,96085083.0,ns,9892157
alloc_tagged,,,,,97050750.0,ns,9994138
alloc_tagged,,,,,97981292.0,ns,10096119
alloc_tagged,,,,,98974500.0,ns,10198100
