group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
alloc_tagged_ar_retain,,,,,1004667.0,ns,62324
alloc_tagged_ar_retain,,,,,2012917.0,ns,124648
alloc_tagged_ar_retain,,,,,3085209.0,ns,186972
alloc_tagged_ar_retain,,,,,4096542.0,ns,249296
alloc_tagged_ar_retain,,,,,4961542.0,ns,311620
alloc_tagged_ar_retain,,,,,5929750.0,ns,373944
alloc_tagged_ar_retain,,,,,6954250.0,ns,436268
alloc_tagged_ar_retain,,,,,7903792.0,ns,498592
alloc_tagged_ar_retain,,,,,8977625.0,ns,560916
alloc_tagged_ar_retain,,,,,9906666.0,ns,623240
alloc_tagged_ar_retain,,,,,10869042.0,ns,685564
alloc_tagged_ar_retain,,,,,11891542.0,ns,747888
alloc_tagged_ar_retain,,,,,12866459.0,ns,810212
alloc_tagged_ar_retain,,,,,13830542.0,ns,872536
alloc_tagged_ar_retain,,,,,14820125.0,ns,934860
alloc_tagged_ar_retain,,,,,15854250.0,ns,997184
alloc_tagged_ar_retain,,,,,16811208.0,ns,1059508
alloc_tagged_ar_retain,,,,,17794333.0,ns,1121832
alloc_tagged_ar_retain,,,,,18798625.0,ns,1184156
alloc_tagged_ar_retain,,,,,19797750.0,ns,1246480
alloc_tagged_ar_retain,,,,,20767292.0,ns,1308804
alloc_tagged_ar_retain,,,,,21775042.0,ns,1371128
alloc_tagged_ar_retain,,,,,22781084.0,ns,1433452
alloc_tagged_ar_retain,,,,,23750292.0,ns,1495776
alloc_tagged_ar_retain,,,,,24718084.0,ns,1558100
alloc_tagged_ar_retain,,,,,25756167.0,ns,1620424
alloc_tagged_ar_retain,,,,,26694792.0,ns,1682748
alloc_tagged_ar_retain,,,,,27717833.0,ns,1745072
alloc_tagged_ar_retain,,,,,28693041.0,ns,1807396
alloc_tagged_ar_retain,,,,,29687416.0,ns,1869720
alloc_tagged_ar_retain,,,,,30673708.0,ns,1932044
alloc_tagged_ar_retain,,,,,31677584.0,ns,1994368
alloc_tagged_ar_retain,,,,,32680500.0,ns,2056692
alloc_tagged_ar_retain,,,,,33627209.0,ns,2119016
alloc_tagged_ar_retain,,,,,34679875.0,ns,2181340
alloc_tagged_ar_retain,,,,,35586792.0,ns,2243664
alloc_tagged_ar_retain,,,,,36598375.0,ns,2305988
alloc_tagged_ar_retain,,,,,37626416.0,ns,2368312
alloc_tagged_ar_retain,,,,,38579916.0,ns,2430636
alloc_tagged_ar_retain,,,,,39587041.0,ns,2492960
alloc_tagged_ar_retain,,,,,40584166.0,ns,2555284
alloc_tagged_ar_retain,,,,,41740500.0,ns,2617608
alloc_tagged_ar_retain,,,,,42630292.0,ns,2679932
alloc_tagged_ar_retain,,,,,43575625.0,ns,2742256
alloc_tagged_ar_retain,,,,,44535625.0,ns,2804580
alloc_tagged_ar_retain,,,,,45494375.0,ns,2866904
alloc_tagged_ar_retain,,,,,46550458.0,ns,2929228
alloc_tagged_ar_retain,,,,,47465709.0,ns,2991552
alloc_tagged_ar_retain,,,,,48488208.0,ns,3053876
alloc_tagged_ar_retain,,,,,49500250.0,ns,3116200
alloc_tagged_ar_retain,,,,,50452083.0,ns,3178524
alloc_tagged_ar_retain,,,,,51479208.0,ns,3240848
alloc_tagged_ar_retain,,,,,52417625.0,ns,3303172
alloc_tagged_ar_retain,,,,,53443667.0,ns,3365496
alloc_tagged_ar_retain,,,,,54487708.0,ns,3427820
alloc_tagged_ar_retain,,,,,55377083.0,ns,3490144
alloc_tagged_ar_retain,,,,,56389375.0,ns,3552468
alloc_tagged_ar_retain,,,,,57443375.0,ns,3614792
alloc_tagged_ar_retain,,,,,58376125.0,ns,3677116
alloc_tagged_ar_retain,,,,,59367917.0,ns,3739440
