group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
alloc_with_ar,,,,,1005833.0,ns,13618
alloc_with_ar,,,,,1978125.0,ns,27236
alloc_with_ar,,,,,3063125.0,ns,40854
alloc_with_ar,,,,,4159416.0,ns,54472
alloc_with_ar,,,,,4943583.0,ns,68090
alloc_with_ar,,,,,5966083.0,ns,81708
alloc_with_ar,,,,,6972333.0,ns,95326
alloc_with_ar,,,,,7970334.0,ns,108944
alloc_with_ar,,,,,8901333.0,ns,122562
alloc_with_ar,,,,,9904583.0,ns,136180
alloc_with_ar,,,,,10888875.0,ns,149798
alloc_with_ar,,,,,11870208.0,ns,163416
alloc_with_ar,,,,,12942416.0,ns,177034
alloc_with_ar,,,,,14244500.0,ns,190652
alloc_with_ar,,,,,14816625.0,ns,204270
alloc_with_ar,,,,,15823375.0,ns,217888
alloc_with_ar,,,,,16811375.0,ns,231506
alloc_with_ar,,,,,17871667.0,ns,245124
alloc_with_ar,,,,,18788166.0,ns,258742
alloc_with_ar,,,,,19771625.0,ns,272360
alloc_with_ar,,,,,20812708.0,ns,285978
alloc_with_ar,,,,,21727125.0,ns,299596
alloc_with_ar,,,,,22719250.0,ns,313214
alloc_with_ar,,,,,23742000.0,ns,326832
alloc_with_ar,,,,,24707542.0,ns,340450
alloc_with_ar,,,,,25669334.0,ns,354068
alloc_with_ar,,,,,26761833.0,ns,367686
alloc_with_ar,,,,,27651416.0,ns,381304
alloc_with_ar,,,,,28692417.0,ns,394922
alloc_with_ar,,,,,29663416.0,ns,408540
alloc_with_ar,,,,,30619500.0,ns,422158
alloc_with_ar,,,,,31578625.0,ns,435776
alloc_with_ar,,,,,32639334.0,ns,449394
alloc_with_ar,,,,,33598125.0,ns,463012
alloc_with_ar,,,,,34602375.0,ns,476630
alloc_with_ar,,,,,35497209.0,ns,490248
alloc_with_ar,,,,,36563334.0,ns,503866
alloc_with_ar,,,,,37528167.0,ns,517484
alloc_with_ar,,,,,38549250.0,ns,531102
alloc_with_ar,,,,,40148875.0,ns,544720
alloc_with_ar,,,,,40570583.0,ns,558338
alloc_with_ar,,,,,41599291.0,ns,571956
alloc_with_ar,,,,,42532833.0,ns,585574
alloc_with_ar,,,,,43515625.0,ns,599192
alloc_with_ar,,,,,44649708.0,ns,612810
alloc_with_ar,,,,,45471166.0,ns,626428
alloc_with_ar,,,,,46472125.0,ns,640046
alloc_with_ar,,,,,47360959.0,ns,653664
alloc_with_ar,,,,,48430375.0,ns,667282
alloc_with_ar,,,,,49427792.0,ns,680900
alloc_with_ar,,,,,50325000.0,ns,694518
alloc_with_ar,,,,,51329333.0,ns,708136
alloc_with_ar,,,,,52316459.0,ns,721754
alloc_with_ar,,,,,53303375.0,ns,735372
alloc_with_ar,,,,,54263000.0,ns,748990
alloc_with_ar,,,,,55362167.0,ns,762608
alloc_with_ar,,,,,56244750.0,ns,776226
alloc_with_ar,,,,,57202541.0,ns,789844
alloc_with_ar,,,,,58203125.0,ns,803462
alloc_with_ar,,,,,59277542.0,ns,817080
alloc_with_ar,,,,,60279583.0,ns,830698
alloc_with_ar,,,,,61216416.0,ns,844316
alloc_with_ar,,,,,62194291.0,ns,857934
alloc_with_ar,,,,,63184166.0,ns,871552
alloc_with_ar,,,,,64237875.0,ns,885170
alloc_with_ar,,,,,65150292.0,ns,898788
alloc_with_ar,,,,,66200250.0,ns,912406
alloc_with_ar,,,,,67178000.0,ns,926024
alloc_with_ar,,,,,68167875.0,ns,939642
alloc_with_ar,,,,,69106833.0,ns,953260
alloc_with_ar,,,,,70105375.0,ns,966878
alloc_with_ar,,,,,71055625.0,ns,980496
alloc_with_ar,,,,,72074750.0,ns,994114
alloc_with_ar,,,,,73042541.0,ns,1007732
alloc_with_ar,,,,,74052917.0,ns,1021350
alloc_with_ar,,,,,75099584.0,ns,1034968
alloc_with_ar,,,,,75954875.0,ns,1048586
alloc_with_ar,,,,,77055042.0,ns,1062204
alloc_with_ar,,,,,78013625.0,ns,1075822
alloc_with_ar,,,,,78979167.0,ns,1089440
alloc_with_ar,,,,,80036750.0,ns,1103058
alloc_with_ar,,,,,80911125.0,ns,1116676
alloc_with_ar,,,,,81926708.0,ns,1130294
alloc_with_ar,,,,,82939708.0,ns,1143912
alloc_with_ar,,,,,83815750.0,ns,1157530
alloc_with_ar,,,,,84877542.0,ns,1171148
alloc_with_ar,,,,,85799084.0,ns,1184766
alloc_with_ar,,,,,86888667.0,ns,1198384
alloc_with_ar,,,,,87864042.0,ns,1212002
alloc_with_ar,,,,,88977542.0,ns,1225620
alloc_with_ar,,,,,89788083.0,ns,1239238
alloc_with_ar,,,,,90870166.0,ns,1252856
alloc_with_ar,,,,,91826083.0,ns,1266474
alloc_with_ar,,,,,92829334.0,ns,1280092
alloc_with_ar,,,,,93944083.0,ns,1293710
alloc_with_ar,,,,,94770958.0,ns,1307328
alloc_with_ar,,,,,95804292.0,ns,1320946
alloc_with_ar,,,,,96778041.0,ns,1334564
alloc_with_ar,,,,,97782458.0,ns,1348182
alloc_with_ar,,,,,98552833.0,ns,1361800
