group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
alloc_with_ar_retain,,,,,1002834.0,ns,12929
alloc_with_ar_retain,,,,,1973958.0,ns,25858
alloc_with_ar_retain,,,,,3064791.0,ns,38787
alloc_with_ar_retain,,,,,4096000.0,ns,51716
alloc_with_ar_retain,,,,,4927959.0,ns,64645
alloc_with_ar_retain,,,,,5921792.0,ns,77574
alloc_with_ar_retain,,,,,6970083.0,ns,90503
alloc_with_ar_retain,,,,,7971500.0,ns,103432
alloc_with_ar_retain,,,,,8950459.0,ns,116361
alloc_with_ar_retain,,,,,9872708.0,ns,129290
alloc_with_ar_retain,,,,,10877125.0,ns,142219
alloc_with_ar_retain,,,,,11857041.0,ns,155148
alloc_with_ar_retain,,,,,12858583.0,ns,168077
alloc_with_ar_retain,,,,,13825625.0,ns,181006
alloc_with_ar_retain,,,,,14788875.0,ns,193935
alloc_with_ar_retain,,,,,15798625.0,ns,206864
alloc_with_ar_retain,,,,,16769209.0,ns,219793
alloc_with_ar_retain,,,,,17785583.0,ns,232722
alloc_with_ar_retain,,,,,18765083.0,ns,245651
alloc_with_ar_retain,,,,,19754292.0,ns,258580
alloc_with_ar_retain,,,,,20725542.0,ns,271509
alloc_with_ar_retain,,,,,21808625.0,ns,284438
alloc_with_ar_retain,,,,,22721000.0,ns,297367
alloc_with_ar_retain,,,,,23870417.0,ns,310296
alloc_with_ar_retain,,,,,24725708.0,ns,323225
alloc_with_ar_retain,,,,,25699292.0,ns,336154
alloc_with_ar_retain,,,,,26727292.0,ns,349083
alloc_with_ar_retain,,,,,27644084.0,ns,362012
alloc_with_ar_retain,,,,,28693833.0,ns,374941
alloc_with_ar_retain,,,,,29623500.0,ns,387870
alloc_with_ar_retain,,,,,30701333.0,ns,400799
alloc_with_ar_retain,,,,,31622541.0,ns,413728
alloc_with_ar_retain,,,,,32605000.0,ns,426657
alloc_with_ar_retain,,,,,33649458.0,ns,439586
alloc_with_ar_retain,,,,,34604667.0,ns,452515
alloc_with_ar_retain,,,,,35653333.0,ns,465444
alloc_with_ar_retain,,,,,36642250.0,ns,478373
alloc_with_ar_retain,,,,,37632292.0,ns,491302
alloc_with_ar_retain,,,,,38692459.0,ns,504231
alloc_with_ar_retain,,,,,39635333.0,ns,517160
alloc_with_ar_retain,,,,,40617333.0,ns,530089
alloc_with_ar_retain,,,,,41658250.0,ns,543018
alloc_with_ar_retain,,,,,42548500.0,ns,555947
alloc_with_ar_retain,,,,,43589042.0,ns,568876
alloc_with_ar_retain,,,,,44615167.0,ns,581805
alloc_with_ar_retain,,,,,45510417.0,ns,594734
alloc_with_ar_retain,,,,,46611709.0,ns,607663
alloc_with_ar_retain,,,,,47545917.0,ns,620592
alloc_with_ar_retain,,,,,48556625.0,ns,633521
alloc_with_ar_retain,,,,,49535583.0,ns,646450
alloc_with_ar_retain,,,,,50635542.0,ns,659379
alloc_with_ar_retain,,,,,51536833.0,ns,672308
alloc_with_ar_retain,,,,,52508834.0,ns,685237
alloc_with_ar_retain,,,,,53535292.0,ns,698166
alloc_with_ar_retain,,,,,54530584.0,ns,711095
alloc_with_ar_retain,,,,,55468834.0,ns,724024
alloc_with_ar_retain,,,,,56436542.0,ns,736953
alloc_with_ar_retain,,,,,57520208.0,ns,749882
alloc_with_ar_retain,,,,,58430791.0,ns,762811
alloc_with_ar_retain,,,,,59504791.0,ns,775740
alloc_with_ar_retain,,,,,60450167.0,ns,788669
alloc_with_ar_retain,,,,,61372958.0,ns,801598
alloc_with_ar_retain,,,,,62375833.0,ns,814527
alloc_with_ar_retain,,,,,63408584.0,ns,827456
alloc_with_ar_retain,,,,,64424292.0,ns,840385
alloc_with_ar_retain,,,,,65381792.0,ns,853314
alloc_with_ar_retain,,,,,66425792.0,ns,866243
alloc_with_ar_retain,,,,,67471334.0,ns,879172
alloc_with_ar_retain,,,,,68401542.0,ns,892101
alloc_with_ar_retain,,,,,69400500.0,ns,905030
alloc_with_ar_retain,,,,,70367750.0,ns,917959
alloc_with_ar_retain,,,,,71364041.0,ns,930888
alloc_with_ar_retain,,,,,72379541.0,ns,943817
alloc_with_ar_retain,,,,,73150666.0,ns,956746
alloc_with_ar_retain,,,,,74121875.0,ns,969675
alloc_with_ar_retain,,,,,75174958.0,ns,982604
alloc_with_ar_retain,,,,,76089708.0,ns,995533
alloc_with_ar_retain,,,,,77051125.0,ns,1008462
alloc_with_ar_retain,,,,,78148708.0,ns,1021391
alloc_with_ar_retain,,,,,79069250.0,ns,1034320
alloc_with_ar_retain,,,,,80059167.0,ns,1047249
alloc_with_ar_retain,,,,,81087750.0,ns,1060178
alloc_with_ar_retain,,,,,82125166.0,ns,1073107
alloc_with_ar_retain,,,,,83224416.0,ns,1086036
alloc_with_ar_retain,,,,,83955291.0,ns,1098965
alloc_with_ar_retain,,,,,85087208.0,ns,1111894
alloc_with_ar_retain,,,,,86017250.0,ns,1124823
alloc_with_ar_retain,,,,,87018875.0,ns,1137752
alloc_with_ar_retain,,,,,88562167.0,ns,1150681
alloc_with_ar_retain,,,,,89280916.0,ns,1163610
alloc_with_ar_retain,,,,,90189833.0,ns,1176539
alloc_with_ar_retain,,,,,91187084.0,ns,1189468
alloc_with_ar_retain,,,,,92137208.0,ns,1202397
alloc_with_ar_retain,,,,,93179208.0,ns,1215326
alloc_with_ar_retain,,,,,94261417.0,ns,1228255
alloc_with_ar_retain,,,,,95072584.0,ns,1241184
alloc_with_ar_retain,,,,,96062292.0,ns,1254113
alloc_with_ar_retain,,,,,97097583.0,ns,1267042
alloc_with_ar_retain,,,,,98104500.0,ns,1279971
alloc_with_ar_retain,,,,,98996083.0,ns,1292900
