group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
alloc_with_fn_call,,,,,1003250.0,ns,13000
alloc_with_fn_call,,,,,1973542.0,ns,26000
alloc_with_fn_call,,,,,3067292.0,ns,39000
alloc_with_fn_call,,,,,4195125.0,ns,52000
alloc_with_fn_call,,,,,5006334.0,ns,65000
alloc_with_fn_call,,,,,5940334.0,ns,78000
alloc_with_fn_call,,,,,7045417.0,ns,91000
alloc_with_fn_call,,,,,7903667.0,ns,104000
alloc_with_fn_call,,,,,8895250.0,ns,117000
alloc_with_fn_call,,,,,9879000.0,ns,130000
alloc_with_fn_call,,,,,10881834.0,ns,143000
alloc_with_fn_call,,,,,11897709.0,ns,156000
alloc_with_fn_call,,,,,12884500.0,ns,169000
alloc_with_fn_call,,,,,13848459.0,ns,182000
alloc_with_fn_call,,,,,15223625.0,ns,195000
alloc_with_fn_call,,,,,15797791.0,ns,208000
alloc_with_fn_call,,,,,16814333.0,ns,221000
alloc_with_fn_call,,,,,17793084.0,ns,234000
alloc_with_fn_call,,,,,18782458.0,ns,247000
alloc_with_fn_call,,,,,19760750.0,ns,260000
alloc_with_fn_call,,,,,20756083.0,ns,273000
alloc_with_fn_call,,,,,21793791.0,ns,286000
alloc_with_fn_call,,,,,22758500.0,ns,299000
alloc_with_fn_call,,,,,23703000.0,ns,312000
alloc_with_fn_call,,,,,25119459.0,ns,325000
alloc_with_fn_call,,,,,25710375.0,ns,338000
alloc_with_fn_call,,,,,26669125.0,ns,351000
alloc_with_fn_call,,,,,27673417.0,ns,364000
alloc_with_fn_call,,,,,28761667.0,ns,377000
alloc_with_fn_call,,,,,29663000.0,ns,390000
alloc_with_fn_call,,,,,30599667.0,ns,403000
alloc_with_fn_call,,,,,31656459.0,ns,416000
alloc_with_fn_call,,,,,32747125.0,ns,429000
alloc_with_fn_call,,,,,33661167.0,ns,442000
alloc_with_fn_call,,,,,34677834.0,ns,455000
alloc_with_fn_call,,,,,35639958.0,ns,468000
alloc_with_fn_call,,,,,36713125.0,ns,481000
alloc_with_fn_call,,,,,37704167.0,ns,494000
alloc_with_fn_call,,,,,38557958.0,ns,507000
alloc_with_fn_call,,,,,39652625.0,ns,520000
alloc_with_fn_call,,,,,40537625.0,ns,533000
alloc_with_fn_call,,,,,41586167.0,ns,546000
alloc_with_fn_call,,,,,42536042.0,ns,559000
alloc_with_fn_call,,,,,43537292.0,ns,572000
alloc_with_fn_call,,,,,44569667.0,ns,585000
alloc_with_fn_call,,,,,45511959.0,ns,598000
alloc_with_fn_call,,,,,46516458.0,ns,611000
alloc_with_fn_call,,,,,47490958.0,ns,624000
alloc_with_fn_call,,,,,48521042.0,ns,637000
alloc_with_fn_call,,,,,49423875.0,ns,650000
alloc_with_fn_call,,,,,50355208.0,ns,663000
alloc_with_fn_call,,,,,51408000.0,ns,676000
alloc_with_fn_call,,,,,52434625.0,ns,689000
alloc_with_fn_call,,,,,53394042.0,ns,702000
alloc_with_fn_call,,,,,54386209.0,ns,715000
alloc_with_fn_call,,,,,55465167.0,ns,728000
alloc_with_fn_call,,,,,56473167.0,ns,741000
alloc_with_fn_call,,,,,57429500.0,ns,754000
alloc_with_fn_call,,,,,58349333.0,ns,767000
alloc_with_fn_call,,,,,59462834.0,ns,780000
alloc_with_fn_call,,,,,60351042.0,ns,793000
alloc_with_fn_call,,,,,61343458.0,ns,806000
alloc_with_fn_call,,,,,62365791.0,ns,819000
alloc_with_fn_call,,,,,63296375.0,ns,832000
alloc_with_fn_call,,,,,64242292.0,ns,845000
alloc_with_fn_call,,,,,65293834.0,ns,858000
alloc_with_fn_call,,,,,66240125.0,ns,871000
alloc_with_fn_call,,,,,67175584.0,ns,884000
alloc_with_fn_call,,,,,68094625.0,ns,897000
alloc_with_fn_call,,,,,69188459.0,ns,910000
alloc_with_fn_call,,,,,70209458.0,ns,923000
alloc_with_fn_call,,,,,71266041.0,ns,936000
alloc_with_fn_call,,,,,72164541.0,ns,949000
alloc_with_fn_call,,,,,73085458.0,ns,962000
alloc_with_fn_call,,,,,74163125.0,ns,975000
alloc_with_fn_call,,,,,75153791.0,ns,988000
alloc_with_fn_call,,,,,76163416.0,ns,1001000
alloc_with_fn_call,,,,,77133500.0,ns,1014000
alloc_with_fn_call,,,,,77976417.0,ns,1027000
alloc_with_fn_call,,,,,79022958.0,ns,1040000
alloc_with_fn_call,,,,,79952916.0,ns,1053000
alloc_with_fn_call,,,,,80968458.0,ns,1066000
alloc_with_fn_call,,,,,82000084.0,ns,1079000
alloc_with_fn_call,,,,,82929250.0,ns,1092000
alloc_with_fn_call,,,,,84057417.0,ns,1105000
alloc_with_fn_call,,,,,85004375.0,ns,1118000
alloc_with_fn_call,,,,,85921291.0,ns,1131000
alloc_with_fn_call,,,,,87060875.0,ns,1144000
alloc_with_fn_call,,,,,87932458.0,ns,1157000
alloc_with_fn_call,,,,,103913208.0,ns,1170000
alloc_with_fn_call,,,,,90171041.0,ns,1183000
alloc_with_fn_call,,,,,90887791.0,ns,1196000
alloc_with_fn_call,,,,,91867041.0,ns,1209000
alloc_with_fn_call,,,,,92919666.0,ns,1222000
alloc_with_fn_call,,,,,93796250.0,ns,1235000
alloc_with_fn_call,,,,,95027708.0,ns,1248000
alloc_with_fn_call,,,,,95868375.0,ns,1261000
alloc_with_fn_call,,,,,96875917.0,ns,1274000
alloc_with_fn_call,,,,,97865209.0,ns,1287000
alloc_with_fn_call,,,,,99076667.0,ns,1300000
