group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
array_new_with_alloc_init,,,,,993542.0,ns,33736
array_new_with_alloc_init,,,,,1983209.0,ns,67472
array_new_with_alloc_init,,,,,3064667.0,ns,101208
array_new_with_alloc_init,,,,,4145000.0,ns,134944
array_new_with_alloc_init,,,,,4961583.0,ns,168680
array_new_with_alloc_init,,,,,5995916.0,ns,202416
array_new_with_alloc_init,,,,,6989083.0,ns,236152
array_new_with_alloc_init,,,,,8024542.0,ns,269888
array_new_with_alloc_init,,,,,8967750.0,ns,303624
array_new_with_alloc_init,,,,,9928833.0,ns,337360
array_new_with_alloc_init,,,,,10734333.0,ns,371096
array_new_with_alloc_init,,,,,11661917.0,ns,404832
array_new_with_alloc_init,,,,,12957250.0,ns,438568
array_new_with_alloc_init,,,,,13819583.0,ns,472304
array_new_with_alloc_init,,,,,14756000.0,ns,506040
array_new_with_alloc_init,,,,,15892500.0,ns,539776
array_new_with_alloc_init,,,,,16806334.0,ns,573512
array_new_with_alloc_init,,,,,17686125.0,ns,607248
array_new_with_alloc_init,,,,,18804875.0,ns,640984
array_new_with_alloc_init,,,,,19733500.0,ns,674720
array_new_with_alloc_init,,,,,20687542.0,ns,708456
array_new_with_alloc_init,,,,,21567709.0,ns,742192
array_new_with_alloc_init,,,,,22615875.0,ns,775928
array_new_with_alloc_init,,,,,23685459.0,ns,809664
array_new_with_alloc_init,,,,,24531458.0,ns,843400
array_new_with_alloc_init,,,,,25576750.0,ns,877136
array_new_with_alloc_init,,,,,26460667.0,ns,910872
array_new_with_alloc_init,,,,,27713500.0,ns,944608
array_new_with_alloc_init,,,,,28815334.0,ns,978344
array_new_with_alloc_init,,,,,29522167.0,ns,1012080
array_new_with_alloc_init,,,,,30697917.0,ns,1045816
array_new_with_alloc_init,,,,,31604208.0,ns,1079552
array_new_with_alloc_init,,,,,32440708.0,ns,1113288
array_new_with_alloc_init,,,,,33587667.0,ns,1147024
array_new_with_alloc_init,,,,,34693834.0,ns,1180760
array_new_with_alloc_init,,,,,35831917.0,ns,1214496
array_new_with_alloc_init,,,,,36778083.0,ns,1248232
array_new_with_alloc_init,,,,,37621333.0,ns,1281968
array_new_with_alloc_init,,,,,38775750.0,ns,1315704
array_new_with_alloc_init,,,,,39608708.0,ns,1349440
array_new_with_alloc_init,,,,,40316709.0,ns,1383176
array_new_with_alloc_init,,,,,41418167.0,ns,1416912
array_new_with_alloc_init,,,,,42561708.0,ns,1450648
array_new_with_alloc_init,,,,,43484250.0,ns,1484384
array_new_with_alloc_init,,,,,44671042.0,ns,1518120
array_new_with_alloc_init,,,,,45537333.0,ns,1551856
array_new_with_alloc_init,,,,,46664291.0,ns,1585592
array_new_with_alloc_init,,,,,47550833.0,ns,1619328
array_new_with_alloc_init,,,,,48581834.0,ns,1653064
array_new_with_alloc_init,,,,,49510167.0,ns,1686800
array_new_with_alloc_init,,,,,50399250.0,ns,1720536
array_new_with_alloc_init,,,,,51679125.0,ns,1754272
array_new_with_alloc_init,,,,,52451833.0,ns,1788008
array_new_with_alloc_init,,,,,53654833.0,ns,1821744
array_new_with_alloc_init,,,,,54392375.0,ns,1855480
