group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
array_new_with_new,,,,,1012000.0,ns,36132
array_new_with_new,,,,,1975417.0,ns,72264
array_new_with_new,,,,,3061459.0,ns,108396
array_new_with_new,,,,,4178792.0,ns,144528
array_new_with_new,,,,,4985834.0,ns,180660
array_new_with_new,,,,,5940375.0,ns,216792
array_new_with_new,,,,,6924500.0,ns,252924
array_new_with_new,,,,,7979000.0,ns,289056
array_new_with_new,,,,,8915667.0,ns,325188
array_new_with_new,,,,,9881375.0,ns,361320
array_new_with_new,,,,,10869250.0,ns,397452
array_new_with_new,,,,,11845750.0,ns,433584
array_new_with_new,,,,,12863792.0,ns,469716
array_new_with_new,,,,,13842500.0,ns,505848
array_new_with_new,,,,,14816042.0,ns,541980
array_new_with_new,,,,,15802917.0,ns,578112
array_new_with_new,,,,,16800417.0,ns,614244
array_new_with_new,,,,,17809083.0,ns,650376
array_new_with_new,,,,,18777416.0,ns,686508
array_new_with_new,,,,,19755708.0,ns,722640
array_new_with_new,,,,,20796500.0,ns,758772
array_new_with_new,,,,,21721291.0,ns,794904
array_new_with_new,,,,,22738916.0,ns,831036
array_new_with_new,,,,,23724916.0,ns,867168
array_new_with_new,,,,,24700625.0,ns,903300
array_new_with_new,,,,,25684125.0,ns,939432
array_new_with_new,,,,,27146291.0,ns,975564
array_new_with_new,,,,,27671958.0,ns,1011696
array_new_with_new,,,,,28666958.0,ns,1047828
array_new_with_new,,,,,29680917.0,ns,1083960
array_new_with_new,,,,,30717000.0,ns,1120092
array_new_with_new,,,,,31630583.0,ns,1156224
array_new_with_new,,,,,32648375.0,ns,1192356
array_new_with_new,,,,,33625458.0,ns,1228488
array_new_with_new,,,,,34583209.0,ns,1264620
array_new_with_new,,,,,35606583.0,ns,1300752
array_new_with_new,,,,,36613625.0,ns,1336884
array_new_with_new,,,,,37652875.0,ns,1373016
array_new_with_new,,,,,38694667.0,ns,1409148
array_new_with_new,,,,,39551084.0,ns,1445280
array_new_with_new,,,,,40549667.0,ns,1481412
array_new_with_new,,,,,41571375.0,ns,1517544
array_new_with_new,,,,,42496917.0,ns,1553676
array_new_with_new,,,,,43472792.0,ns,1589808
array_new_with_new,,,,,44516917.0,ns,1625940
array_new_with_new,,,,,45472792.0,ns,1662072
array_new_with_new,,,,,46455792.0,ns,1698204
array_new_with_new,,,,,47550459.0,ns,1734336
array_new_with_new,,,,,48452959.0,ns,1770468
array_new_with_new,,,,,49403000.0,ns,1806600
array_new_with_new,,,,,50493916.0,ns,1842732
array_new_with_new,,,,,51422000.0,ns,1878864
array_new_with_new,,,,,52348459.0,ns,1914996
array_new_with_new,,,,,53337750.0,ns,1951128
array_new_with_new,,,,,54411625.0,ns,1987260
array_new_with_new,,,,,55377833.0,ns,2023392
array_new_with_new,,,,,56386084.0,ns,2059524
array_new_with_new,,,,,57437208.0,ns,2095656
array_new_with_new,,,,,58427708.0,ns,2131788
array_new_with_new,,,,,59359125.0,ns,2167920
array_new_with_new,,,,,60448291.0,ns,2204052
array_new_with_new,,,,,61229750.0,ns,2240184
array_new_with_new,,,,,62208958.0,ns,2276316
array_new_with_new,,,,,63223167.0,ns,2312448
array_new_with_new,,,,,64258125.0,ns,2348580
array_new_with_new,,,,,65251125.0,ns,2384712
array_new_with_new,,,,,66303500.0,ns,2420844
array_new_with_new,,,,,67349208.0,ns,2456976
array_new_with_new,,,,,68174375.0,ns,2493108
array_new_with_new,,,,,69263292.0,ns,2529240
array_new_with_new,,,,,70204333.0,ns,2565372
array_new_with_new,,,,,71258542.0,ns,2601504
array_new_with_new,,,,,72163875.0,ns,2637636
array_new_with_new,,,,,73067375.0,ns,2673768
array_new_with_new,,,,,74255542.0,ns,2709900
array_new_with_new,,,,,75103833.0,ns,2746032
array_new_with_new,,,,,76092083.0,ns,2782164
array_new_with_new,,,,,77162584.0,ns,2818296
array_new_with_new,,,,,78080958.0,ns,2854428
array_new_with_new,,,,,79072000.0,ns,2890560
array_new_with_new,,,,,80113667.0,ns,2926692
array_new_with_new,,,,,81075750.0,ns,2962824
array_new_with_new,,,,,82081750.0,ns,2998956
array_new_with_new,,,,,83028416.0,ns,3035088
array_new_with_new,,,,,84078750.0,ns,3071220
array_new_with_new,,,,,84949542.0,ns,3107352
array_new_with_new,,,,,86063417.0,ns,3143484
array_new_with_new,,,,,87017542.0,ns,3179616
array_new_with_new,,,,,87951292.0,ns,3215748
array_new_with_new,,,,,88897125.0,ns,3251880
array_new_with_new,,,,,90016875.0,ns,3288012
array_new_with_new,,,,,90918292.0,ns,3324144
array_new_with_new,,,,,92004709.0,ns,3360276
array_new_with_new,,,,,92918667.0,ns,3396408
array_new_with_new,,,,,93945792.0,ns,3432540
array_new_with_new,,,,,94867459.0,ns,3468672
array_new_with_new,,,,,95946750.0,ns,3504804
array_new_with_new,,,,,96815375.0,ns,3540936
array_new_with_new,,,,,98024792.0,ns,3577068
array_new_with_new,,,,,98811583.0,ns,3613200
