group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
array_with_buf_inside,,,,,1004833.0,ns,22077
array_with_buf_inside,,,,,1975166.0,ns,44154
array_with_buf_inside,,,,,3067458.0,ns,66231
array_with_buf_inside,,,,,4119375.0,ns,88308
array_with_buf_inside,,,,,4937250.0,ns,110385
array_with_buf_inside,,,,,5925458.0,ns,132462
array_with_buf_inside,,,,,6958000.0,ns,154539
array_with_buf_inside,,,,,7902625.0,ns,176616
array_with_buf_inside,,,,,8936625.0,ns,198693
array_with_buf_inside,,,,,9880167.0,ns,220770
array_with_buf_inside,,,,,10921750.0,ns,242847
array_with_buf_inside,,,,,11859583.0,ns,264924
array_with_buf_inside,,,,,12855708.0,ns,287001
array_with_buf_inside,,,,,13884834.0,ns,309078
array_with_buf_inside,,,,,14832167.0,ns,331155
array_with_buf_inside,,,,,15835125.0,ns,353232
array_with_buf_inside,,,,,16808625.0,ns,375309
array_with_buf_inside,,,,,17844292.0,ns,397386
array_with_buf_inside,,,,,18806000.0,ns,419463
array_with_buf_inside,,,,,19800416.0,ns,441540
array_with_buf_inside,,,,,20808416.0,ns,463617
array_with_buf_inside,,,,,21748542.0,ns,485694
array_with_buf_inside,,,,,22795542.0,ns,507771
array_with_buf_inside,,,,,23768042.0,ns,529848
array_with_buf_inside,,,,,24735750.0,ns,551925
array_with_buf_inside,,,,,25726209.0,ns,574002
array_with_buf_inside,,,,,26695792.0,ns,596079
array_with_buf_inside,,,,,27688459.0,ns,618156
array_with_buf_inside,,,,,28714958.0,ns,640233
array_with_buf_inside,,,,,29711625.0,ns,662310
array_with_buf_inside,,,,,30645959.0,ns,684387
array_with_buf_inside,,,,,31640667.0,ns,706464
array_with_buf_inside,,,,,32652542.0,ns,728541
array_with_buf_inside,,,,,33651500.0,ns,750618
array_with_buf_inside,,,,,34610916.0,ns,772695
array_with_buf_inside,,,,,35652083.0,ns,794772
array_with_buf_inside,,,,,36659917.0,ns,816849
array_with_buf_inside,,,,,37608791.0,ns,838926
array_with_buf_inside,,,,,38593917.0,ns,861003
array_with_buf_inside,,,,,39587875.0,ns,883080
array_with_buf_inside,,,,,40626834.0,ns,905157
array_with_buf_inside,,,,,41597500.0,ns,927234
array_with_buf_inside,,,,,42677417.0,ns,949311
array_with_buf_inside,,,,,43615250.0,ns,971388
array_with_buf_inside,,,,,44574416.0,ns,993465
array_with_buf_inside,,,,,45497750.0,ns,1015542
array_with_buf_inside,,,,,46599584.0,ns,1037619
array_with_buf_inside,,,,,47489708.0,ns,1059696
array_with_buf_inside,,,,,48484250.0,ns,1081773
array_with_buf_inside,,,,,49486542.0,ns,1103850
array_with_buf_inside,,,,,50476666.0,ns,1125927
array_with_buf_inside,,,,,51446917.0,ns,1148004
array_with_buf_inside,,,,,52453167.0,ns,1170081
array_with_buf_inside,,,,,53456167.0,ns,1192158
array_with_buf_inside,,,,,54520583.0,ns,1214235
array_with_buf_inside,,,,,55409541.0,ns,1236312
array_with_buf_inside,,,,,56854916.0,ns,1258389
array_with_buf_inside,,,,,57404791.0,ns,1280466
array_with_buf_inside,,,,,58494375.0,ns,1302543
array_with_buf_inside,,,,,59384959.0,ns,1324620
array_with_buf_inside,,,,,60628084.0,ns,1346697
array_with_buf_inside,,,,,61636333.0,ns,1368774
array_with_buf_inside,,,,,62398583.0,ns,1390851
array_with_buf_inside,,,,,63384000.0,ns,1412928
array_with_buf_inside,,,,,64395750.0,ns,1435005
array_with_buf_inside,,,,,65324792.0,ns,1457082
array_with_buf_inside,,,,,66297875.0,ns,1479159
array_with_buf_inside,,,,,67315083.0,ns,1501236
array_with_buf_inside,,,,,68315084.0,ns,1523313
array_with_buf_inside,,,,,69263125.0,ns,1545390
array_with_buf_inside,,,,,70343459.0,ns,1567467
array_with_buf_inside,,,,,71260458.0,ns,1589544
array_with_buf_inside,,,,,72272166.0,ns,1611621
array_with_buf_inside,,,,,73347875.0,ns,1633698
array_with_buf_inside,,,,,74303792.0,ns,1655775
array_with_buf_inside,,,,,75333000.0,ns,1677852
array_with_buf_inside,,,,,76402084.0,ns,1699929
array_with_buf_inside,,,,,77241125.0,ns,1722006
array_with_buf_inside,,,,,78283917.0,ns,1744083
array_with_buf_inside,,,,,79168916.0,ns,1766160
array_with_buf_inside,,,,,80126875.0,ns,1788237
array_with_buf_inside,,,,,81143292.0,ns,1810314
array_with_buf_inside,,,,,82131792.0,ns,1832391
array_with_buf_inside,,,,,83216667.0,ns,1854468
array_with_buf_inside,,,,,84135125.0,ns,1876545
array_with_buf_inside,,,,,85076291.0,ns,1898622
array_with_buf_inside,,,,,86113166.0,ns,1920699
array_with_buf_inside,,,,,87147375.0,ns,1942776
array_with_buf_inside,,,,,88312959.0,ns,1964853
array_with_buf_inside,,,,,89254875.0,ns,1986930
array_with_buf_inside,,,,,90121541.0,ns,2009007
array_with_buf_inside,,,,,91043916.0,ns,2031084
array_with_buf_inside,,,,,92075875.0,ns,2053161
array_with_buf_inside,,,,,93010416.0,ns,2075238
array_with_buf_inside,,,,,94080375.0,ns,2097315
array_with_buf_inside,,,,,95000458.0,ns,2119392
array_with_buf_inside,,,,,95967833.0,ns,2141469
array_with_buf_inside,,,,,97031166.0,ns,2163546
array_with_buf_inside,,,,,97967583.0,ns,2185623
array_with_buf_inside,,,,,99104917.0,ns,2207700
