group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
array_with_mut,,,,,1008375.0,ns,11348
array_with_mut,,,,,1981834.0,ns,22696
array_with_mut,,,,,3060209.0,ns,34044
array_with_mut,,,,,4112125.0,ns,45392
array_with_mut,,,,,4960208.0,ns,56740
array_with_mut,,,,,5968750.0,ns,68088
array_with_mut,,,,,7036667.0,ns,79436
array_with_mut,,,,,7951209.0,ns,90784
array_with_mut,,,,,9028667.0,ns,102132
array_with_mut,,,,,9961166.0,ns,113480
array_with_mut,,,,,10942041.0,ns,124828
array_with_mut,,,,,11923208.0,ns,136176
array_with_mut,,,,,12973792.0,ns,147524
array_with_mut,,,,,13894084.0,ns,158872
array_with_mut,,,,,14928000.0,ns,170220
array_with_mut,,,,,15883333.0,ns,181568
array_with_mut,,,,,16901250.0,ns,192916
array_with_mut,,,,,17957541.0,ns,204264
array_with_mut,,,,,18925000.0,ns,215612
array_with_mut,,,,,19877292.0,ns,226960
array_with_mut,,,,,20858709.0,ns,238308
array_with_mut,,,,,21852125.0,ns,249656
array_with_mut,,,,,22854166.0,ns,261004
array_with_mut,,,,,23903917.0,ns,272352
array_with_mut,,,,,24854584.0,ns,283700
array_with_mut,,,,,25840417.0,ns,295048
array_with_mut,,,,,26908084.0,ns,306396
array_with_mut,,,,,27768917.0,ns,317744
array_with_mut,,,,,28781375.0,ns,329092
array_with_mut,,,,,29797250.0,ns,340440
array_with_mut,,,,,30780042.0,ns,351788
array_with_mut,,,,,31939417.0,ns,363136
array_with_mut,,,,,32926125.0,ns,374484
array_with_mut,,,,,33752583.0,ns,385832
array_with_mut,,,,,34783666.0,ns,397180
array_with_mut,,,,,35770583.0,ns,408528
array_with_mut,,,,,36716625.0,ns,419876
array_with_mut,,,,,37744250.0,ns,431224
array_with_mut,,,,,38784750.0,ns,442572
array_with_mut,,,,,39877250.0,ns,453920
array_with_mut,,,,,41126167.0,ns,465268
array_with_mut,,,,,41820750.0,ns,476616
array_with_mut,,,,,42873333.0,ns,487964
array_with_mut,,,,,43662666.0,ns,499312
array_with_mut,,,,,44724208.0,ns,510660
array_with_mut,,,,,45680250.0,ns,522008
array_with_mut,,,,,46730000.0,ns,533356
array_with_mut,,,,,47664459.0,ns,544704
array_with_mut,,,,,48624334.0,ns,556052
array_with_mut,,,,,49988459.0,ns,567400
array_with_mut,,,,,50682250.0,ns,578748
array_with_mut,,,,,51629458.0,ns,590096
array_with_mut,,,,,52655291.0,ns,601444
array_with_mut,,,,,53612500.0,ns,612792
array_with_mut,,,,,54604584.0,ns,624140
array_with_mut,,,,,55716959.0,ns,635488
array_with_mut,,,,,56793667.0,ns,646836
array_with_mut,,,,,57634125.0,ns,658184
array_with_mut,,,,,58464083.0,ns,669532
array_with_mut,,,,,59429833.0,ns,680880
array_with_mut,,,,,60434208.0,ns,692228
array_with_mut,,,,,61449208.0,ns,703576
array_with_mut,,,,,62400458.0,ns,714924
array_with_mut,,,,,63465791.0,ns,726272
array_with_mut,,,,,64511666.0,ns,737620
array_with_mut,,,,,65468625.0,ns,748968
array_with_mut,,,,,66423250.0,ns,760316
array_with_mut,,,,,67358125.0,ns,771664
array_with_mut,,,,,68546500.0,ns,783012
array_with_mut,,,,,69373667.0,ns,794360
array_with_mut,,,,,70508792.0,ns,805708
array_with_mut,,,,,71429542.0,ns,817056
array_with_mut,,,,,72419584.0,ns,828404
array_with_mut,,,,,73405292.0,ns,839752
array_with_mut,,,,,74284875.0,ns,851100
array_with_mut,,,,,75308833.0,ns,862448
array_with_mut,,,,,76248458.0,ns,873796
array_with_mut,,,,,77289916.0,ns,885144
array_with_mut,,,,,78285250.0,ns,896492
array_with_mut,,,,,79293334.0,ns,907840
array_with_mut,,,,,80293084.0,ns,919188
array_with_mut,,,,,81298750.0,ns,930536
array_with_mut,,,,,82202458.0,ns,941884
array_with_mut,,,,,83288875.0,ns,953232
array_with_mut,,,,,84187583.0,ns,964580
array_with_mut,,,,,85342333.0,ns,975928
array_with_mut,,,,,86288750.0,ns,987276
array_with_mut,,,,,87215542.0,ns,998624
array_with_mut,,,,,88240958.0,ns,1009972
array_with_mut,,,,,89175958.0,ns,1021320
array_with_mut,,,,,90259833.0,ns,1032668
array_with_mut,,,,,91321041.0,ns,1044016
array_with_mut,,,,,92248542.0,ns,1055364
array_with_mut,,,,,93116750.0,ns,1066712
array_with_mut,,,,,94163541.0,ns,1078060
array_with_mut,,,,,95307917.0,ns,1089408
array_with_mut,,,,,96223458.0,ns,1100756
array_with_mut,,,,,97111208.0,ns,1112104
array_with_mut,,,,,98147250.0,ns,1123452
array_with_mut,,,,,99075375.0,ns,1134800
