group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
array_with_mut,,,,,1062000.0,ns,5131
array_with_mut,,,,,2081083.0,ns,10262
array_with_mut,,,,,3236750.0,ns,15393
array_with_mut,,,,,4318000.0,ns,20524
array_with_mut,,,,,5203625.0,ns,25655
array_with_mut,,,,,6225708.0,ns,30786
array_with_mut,,,,,7180708.0,ns,35917
array_with_mut,,,,,8285375.0,ns,41048
array_with_mut,,,,,9375083.0,ns,46179
array_with_mut,,,,,10341375.0,ns,51310
array_with_mut,,,,,11326083.0,ns,56441
array_with_mut,,,,,12536208.0,ns,61572
array_with_mut,,,,,13678875.0,ns,66703
array_with_mut,,,,,14601291.0,ns,71834
array_with_mut,,,,,15650000.0,ns,76965
array_with_mut,,,,,16657458.0,ns,82096
array_with_mut,,,,,17491667.0,ns,87227
array_with_mut,,,,,18891791.0,ns,92358
array_with_mut,,,,,19930375.0,ns,97489
array_with_mut,,,,,20848167.0,ns,102620
array_with_mut,,,,,21826250.0,ns,107751
array_with_mut,,,,,23050416.0,ns,112882
array_with_mut,,,,,23928541.0,ns,118013
array_with_mut,,,,,24967792.0,ns,123144
array_with_mut,,,,,25762500.0,ns,128275
array_with_mut,,,,,26875750.0,ns,133406
array_with_mut,,,,,28137291.0,ns,138537
array_with_mut,,,,,28799958.0,ns,143668
array_with_mut,,,,,30223208.0,ns,148799
array_with_mut,,,,,31469250.0,ns,153930
array_with_mut,,,,,32259875.0,ns,159061
array_with_mut,,,,,33267292.0,ns,164192
array_with_mut,,,,,34495375.0,ns,169323
array_with_mut,,,,,35472583.0,ns,174454
array_with_mut,,,,,36502375.0,ns,179585
array_with_mut,,,,,37571500.0,ns,184716
array_with_mut,,,,,38416583.0,ns,189847
array_with_mut,,,,,39378125.0,ns,194978
array_with_mut,,,,,40156208.0,ns,200109
array_with_mut,,,,,41411166.0,ns,205240
array_with_mut,,,,,42586667.0,ns,210371
array_with_mut,,,,,44092458.0,ns,215502
array_with_mut,,,,,44665083.0,ns,220633
array_with_mut,,,,,45867166.0,ns,225764
array_with_mut,,,,,47054292.0,ns,230895
array_with_mut,,,,,48166958.0,ns,236026
array_with_mut,,,,,49117541.0,ns,241157
array_with_mut,,,,,50191166.0,ns,246288
array_with_mut,,,,,51118333.0,ns,251419
array_with_mut,,,,,52023375.0,ns,256550
array_with_mut,,,,,52943000.0,ns,261681
array_with_mut,,,,,54230625.0,ns,266812
array_with_mut,,,,,55221583.0,ns,271943
array_with_mut,,,,,56396292.0,ns,277074
array_with_mut,,,,,56994417.0,ns,282205
array_with_mut,,,,,58433709.0,ns,287336
array_with_mut,,,,,58985584.0,ns,292467
array_with_mut,,,,,60281750.0,ns,297598
array_with_mut,,,,,61714125.0,ns,302729
array_with_mut,,,,,62822958.0,ns,307860
array_with_mut,,,,,63594583.0,ns,312991
array_with_mut,,,,,64397667.0,ns,318122
array_with_mut,,,,,65430292.0,ns,323253
array_with_mut,,,,,65857625.0,ns,328384
array_with_mut,,,,,67588792.0,ns,333515
array_with_mut,,,,,68709083.0,ns,338646
array_with_mut,,,,,69162625.0,ns,343777
array_with_mut,,,,,70577791.0,ns,348908
array_with_mut,,,,,71571166.0,ns,354039
array_with_mut,,,,,72180792.0,ns,359170
array_with_mut,,,,,73646917.0,ns,364301
array_with_mut,,,,,74800416.0,ns,369432
array_with_mut,,,,,76122250.0,ns,374563
array_with_mut,,,,,77211917.0,ns,379694
array_with_mut,,,,,77911542.0,ns,384825
array_with_mut,,,,,79003875.0,ns,389956
array_with_mut,,,,,80007625.0,ns,395087
array_with_mut,,,,,81003250.0,ns,400218
array_with_mut,,,,,81367167.0,ns,405349
array_with_mut,,,,,82788000.0,ns,410480
array_with_mut,,,,,83875791.0,ns,415611
array_with_mut,,,,,85191958.0,ns,420742
array_with_mut,,,,,86037958.0,ns,425873
array_with_mut,,,,,86677875.0,ns,431004
array_with_mut,,,,,87894750.0,ns,436135
array_with_mut,,,,,88367083.0,ns,441266
array_with_mut,,,,,89751167.0,ns,446397
array_with_mut,,,,,90545209.0,ns,451528
array_with_mut,,,,,92220625.0,ns,456659
array_with_mut,,,,,93123375.0,ns,461790
array_with_mut,,,,,94279084.0,ns,466921
array_with_mut,,,,,94929667.0,ns,472052
array_with_mut,,,,,96431917.0,ns,477183
array_with_mut,,,,,97675542.0,ns,482314
array_with_mut,,,,,98721125.0,ns,487445
array_with_mut,,,,,99872250.0,ns,492576
array_with_mut,,,,,100793500.0,ns,497707
array_with_mut,,,,,101366209.0,ns,502838
array_with_mut,,,,,102610250.0,ns,507969
array_with_mut,,,,,102866875.0,ns,513100
