group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
array_with_mut_inside,,,,,1043375.0,ns,13549
array_with_mut_inside,,,,,1990042.0,ns,27098
array_with_mut_inside,,,,,3090500.0,ns,40647
array_with_mut_inside,,,,,4230250.0,ns,54196
array_with_mut_inside,,,,,4997042.0,ns,67745
array_with_mut_inside,,,,,5961708.0,ns,81294
array_with_mut_inside,,,,,6925541.0,ns,94843
array_with_mut_inside,,,,,8004250.0,ns,108392
array_with_mut_inside,,,,,8877417.0,ns,121941
array_with_mut_inside,,,,,9884000.0,ns,135490
array_with_mut_inside,,,,,10861708.0,ns,149039
array_with_mut_inside,,,,,11837959.0,ns,162588
array_with_mut_inside,,,,,12870834.0,ns,176137
array_with_mut_inside,,,,,13828125.0,ns,189686
array_with_mut_inside,,,,,14809500.0,ns,203235
array_with_mut_inside,,,,,15804541.0,ns,216784
array_with_mut_inside,,,,,16795292.0,ns,230333
array_with_mut_inside,,,,,17796125.0,ns,243882
array_with_mut_inside,,,,,18789167.0,ns,257431
array_with_mut_inside,,,,,19834959.0,ns,270980
array_with_mut_inside,,,,,20763125.0,ns,284529
array_with_mut_inside,,,,,21747500.0,ns,298078
array_with_mut_inside,,,,,22789375.0,ns,311627
array_with_mut_inside,,,,,23762792.0,ns,325176
array_with_mut_inside,,,,,24731125.0,ns,338725
array_with_mut_inside,,,,,25742792.0,ns,352274
array_with_mut_inside,,,,,26733500.0,ns,365823
array_with_mut_inside,,,,,27702250.0,ns,379372
array_with_mut_inside,,,,,28764667.0,ns,392921
array_with_mut_inside,,,,,29667208.0,ns,406470
array_with_mut_inside,,,,,30726916.0,ns,420019
array_with_mut_inside,,,,,31686500.0,ns,433568
array_with_mut_inside,,,,,32646250.0,ns,447117
array_with_mut_inside,,,,,33611000.0,ns,460666
array_with_mut_inside,,,,,34615125.0,ns,474215
array_with_mut_inside,,,,,35693084.0,ns,487764
array_with_mut_inside,,,,,36577333.0,ns,501313
array_with_mut_inside,,,,,37599083.0,ns,514862
array_with_mut_inside,,,,,38565958.0,ns,528411
array_with_mut_inside,,,,,39584417.0,ns,541960
array_with_mut_inside,,,,,40560375.0,ns,555509
array_with_mut_inside,,,,,41568541.0,ns,569058
array_with_mut_inside,,,,,42573292.0,ns,582607
array_with_mut_inside,,,,,43533542.0,ns,596156
array_with_mut_inside,,,,,44554167.0,ns,609705
array_with_mut_inside,,,,,45551375.0,ns,623254
array_with_mut_inside,,,,,46490542.0,ns,636803
array_with_mut_inside,,,,,47415625.0,ns,650352
array_with_mut_inside,,,,,48489875.0,ns,663901
array_with_mut_inside,,,,,49364125.0,ns,677450
array_with_mut_inside,,,,,50337375.0,ns,690999
array_with_mut_inside,,,,,51473708.0,ns,704548
array_with_mut_inside,,,,,52449417.0,ns,718097
array_with_mut_inside,,,,,53581833.0,ns,731646
array_with_mut_inside,,,,,54434875.0,ns,745195
array_with_mut_inside,,,,,55433833.0,ns,758744
array_with_mut_inside,,,,,56503292.0,ns,772293
array_with_mut_inside,,,,,57426333.0,ns,785842
array_with_mut_inside,,,,,58428500.0,ns,799391
array_with_mut_inside,,,,,59360291.0,ns,812940
array_with_mut_inside,,,,,60385916.0,ns,826489
array_with_mut_inside,,,,,61318583.0,ns,840038
array_with_mut_inside,,,,,62338291.0,ns,853587
array_with_mut_inside,,,,,63293583.0,ns,867136
array_with_mut_inside,,,,,64390792.0,ns,880685
array_with_mut_inside,,,,,65324542.0,ns,894234
array_with_mut_inside,,,,,66397000.0,ns,907783
array_with_mut_inside,,,,,67286333.0,ns,921332
array_with_mut_inside,,,,,68187250.0,ns,934881
array_with_mut_inside,,,,,69343625.0,ns,948430
array_with_mut_inside,,,,,70250833.0,ns,961979
array_with_mut_inside,,,,,71223333.0,ns,975528
array_with_mut_inside,,,,,72324917.0,ns,989077
array_with_mut_inside,,,,,73063000.0,ns,1002626
array_with_mut_inside,,,,,74161500.0,ns,1016175
array_with_mut_inside,,,,,75070000.0,ns,1029724
array_with_mut_inside,,,,,76036541.0,ns,1043273
array_with_mut_inside,,,,,77038041.0,ns,1056822
array_with_mut_inside,,,,,78115792.0,ns,1070371
array_with_mut_inside,,,,,79064583.0,ns,1083920
array_with_mut_inside,,,,,80095666.0,ns,1097469
array_with_mut_inside,,,,,80919917.0,ns,1111018
array_with_mut_inside,,,,,81962875.0,ns,1124567
array_with_mut_inside,,,,,83067750.0,ns,1138116
array_with_mut_inside,,,,,84268916.0,ns,1151665
array_with_mut_inside,,,,,85046708.0,ns,1165214
array_with_mut_inside,,,,,86015000.0,ns,1178763
array_with_mut_inside,,,,,87093542.0,ns,1192312
array_with_mut_inside,,,,,87888375.0,ns,1205861
array_with_mut_inside,,,,,88914084.0,ns,1219410
array_with_mut_inside,,,,,90001167.0,ns,1232959
array_with_mut_inside,,,,,91122500.0,ns,1246508
array_with_mut_inside,,,,,91956666.0,ns,1260057
array_with_mut_inside,,,,,92862000.0,ns,1273606
array_with_mut_inside,,,,,93977458.0,ns,1287155
array_with_mut_inside,,,,,94884250.0,ns,1300704
array_with_mut_inside,,,,,95974250.0,ns,1314253
array_with_mut_inside,,,,,96992500.0,ns,1327802
array_with_mut_inside,,,,,97963167.0,ns,1341351
array_with_mut_inside,,,,,99028500.0,ns,1354900
