group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
array_with_mut_inside_5,,,,,988000.0,ns,6337
array_with_mut_inside_5,,,,,1956584.0,ns,12674
array_with_mut_inside_5,,,,,3013959.0,ns,19011
array_with_mut_inside_5,,,,,4091208.0,ns,25348
array_with_mut_inside_5,,,,,4951500.0,ns,31685
array_with_mut_inside_5,,,,,6136417.0,ns,38022
array_with_mut_inside_5,,,,,6847542.0,ns,44359
array_with_mut_inside_5,,,,,8131042.0,ns,50696
array_with_mut_inside_5,,,,,9185042.0,ns,57033
array_with_mut_inside_5,,,,,10174917.0,ns,63370
array_with_mut_inside_5,,,,,11167917.0,ns,69707
array_with_mut_inside_5,,,,,12180791.0,ns,76044
array_with_mut_inside_5,,,,,12897667.0,ns,82381
array_with_mut_inside_5,,,,,14367917.0,ns,88718
array_with_mut_inside_5,,,,,14723000.0,ns,95055
array_with_mut_inside_5,,,,,16456042.0,ns,101392
array_with_mut_inside_5,,,,,17338750.0,ns,107729
array_with_mut_inside_5,,,,,18134583.0,ns,114066
array_with_mut_inside_5,,,,,18464250.0,ns,120403
array_with_mut_inside_5,,,,,19436167.0,ns,126740
array_with_mut_inside_5,,,,,20419042.0,ns,133077
array_with_mut_inside_5,,,,,21391541.0,ns,139414
array_with_mut_inside_5,,,,,23397666.0,ns,145751
array_with_mut_inside_5,,,,,23310958.0,ns,152088
array_with_mut_inside_5,,,,,24296791.0,ns,158425
array_with_mut_inside_5,,,,,25341083.0,ns,164762
array_with_mut_inside_5,,,,,27211375.0,ns,171099
array_with_mut_inside_5,,,,,27780041.0,ns,177436
array_with_mut_inside_5,,,,,28231792.0,ns,183773
array_with_mut_inside_5,,,,,30342125.0,ns,190110
array_with_mut_inside_5,,,,,32006250.0,ns,196447
array_with_mut_inside_5,,,,,32200333.0,ns,202784
array_with_mut_inside_5,,,,,33390166.0,ns,209121
array_with_mut_inside_5,,,,,33300916.0,ns,215458
array_with_mut_inside_5,,,,,34095250.0,ns,221795
array_with_mut_inside_5,,,,,35045292.0,ns,228132
array_with_mut_inside_5,,,,,36854834.0,ns,234469
array_with_mut_inside_5,,,,,38775292.0,ns,240806
array_with_mut_inside_5,,,,,38891667.0,ns,247143
array_with_mut_inside_5,,,,,38831834.0,ns,253480
array_with_mut_inside_5,,,,,41146584.0,ns,259817
array_with_mut_inside_5,,,,,42062958.0,ns,266154
array_with_mut_inside_5,,,,,42200958.0,ns,272491
array_with_mut_inside_5,,,,,43648208.0,ns,278828
array_with_mut_inside_5,,,,,45656041.0,ns,285165
array_with_mut_inside_5,,,,,45520666.0,ns,291502
array_with_mut_inside_5,,,,,46833541.0,ns,297839
array_with_mut_inside_5,,,,,48772708.0,ns,304176
array_with_mut_inside_5,,,,,48208416.0,ns,310513
array_with_mut_inside_5,,,,,50576333.0,ns,316850
array_with_mut_inside_5,,,,,51119625.0,ns,323187
array_with_mut_inside_5,,,,,52853500.0,ns,329524
array_with_mut_inside_5,,,,,52902958.0,ns,335861
array_with_mut_inside_5,,,,,54001750.0,ns,342198
array_with_mut_inside_5,,,,,54725125.0,ns,348535
array_with_mut_inside_5,,,,,54798708.0,ns,354872
array_with_mut_inside_5,,,,,56574125.0,ns,361209
array_with_mut_inside_5,,,,,57473208.0,ns,367546
array_with_mut_inside_5,,,,,59621292.0,ns,373883
array_with_mut_inside_5,,,,,59030084.0,ns,380220
array_with_mut_inside_5,,,,,61083667.0,ns,386557
array_with_mut_inside_5,,,,,60917459.0,ns,392894
array_with_mut_inside_5,,,,,61631208.0,ns,399231
array_with_mut_inside_5,,,,,63855500.0,ns,405568
array_with_mut_inside_5,,,,,64006625.0,ns,411905
array_with_mut_inside_5,,,,,64069292.0,ns,418242
array_with_mut_inside_5,,,,,65493208.0,ns,424579
array_with_mut_inside_5,,,,,68234416.0,ns,430916
array_with_mut_inside_5,,,,,67379000.0,ns,437253
array_with_mut_inside_5,,,,,68630584.0,ns,443590
array_with_mut_inside_5,,,,,69013125.0,ns,449927
array_with_mut_inside_5,,,,,71985791.0,ns,456264
array_with_mut_inside_5,,,,,72974625.0,ns,462601
array_with_mut_inside_5,,,,,74720209.0,ns,468938
array_with_mut_inside_5,,,,,73613208.0,ns,475275
array_with_mut_inside_5,,,,,74087458.0,ns,481612
array_with_mut_inside_5,,,,,76776000.0,ns,487949
array_with_mut_inside_5,,,,,77819250.0,ns,494286
array_with_mut_inside_5,,,,,79109583.0,ns,500623
array_with_mut_inside_5,,,,,78378875.0,ns,506960
array_with_mut_inside_5,,,,,79677208.0,ns,513297
array_with_mut_inside_5,,,,,79606333.0,ns,519634
array_with_mut_inside_5,,,,,82925917.0,ns,525971
array_with_mut_inside_5,,,,,83913708.0,ns,532308
array_with_mut_inside_5,,,,,84105875.0,ns,538645
array_with_mut_inside_5,,,,,86649791.0,ns,544982
array_with_mut_inside_5,,,,,86679833.0,ns,551319
array_with_mut_inside_5,,,,,88710000.0,ns,557656
array_with_mut_inside_5,,,,,91201334.0,ns,563993
array_with_mut_inside_5,,,,,88943542.0,ns,570330
array_with_mut_inside_5,,,,,93138875.0,ns,576667
array_with_mut_inside_5,,,,,92078750.0,ns,583004
array_with_mut_inside_5,,,,,91544916.0,ns,589341
array_with_mut_inside_5,,,,,93383167.0,ns,595678
array_with_mut_inside_5,,,,,94020875.0,ns,602015
array_with_mut_inside_5,,,,,95506625.0,ns,608352
array_with_mut_inside_5,,,,,95063000.0,ns,614689
array_with_mut_inside_5,,,,,96823917.0,ns,621026
array_with_mut_inside_5,,,,,97105625.0,ns,627363
array_with_mut_inside_5,,,,,99851542.0,ns,633700
