group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
macro untracked,,,,,1157584.0,ns,4
macro untracked,,,,,2208458.0,ns,8
macro untracked,,,,,3697792.0,ns,12
macro untracked,,,,,4634792.0,ns,16
macro untracked,,,,,5687917.0,ns,20
macro untracked,,,,,7204958.0,ns,24
macro untracked,,,,,8193542.0,ns,28
macro untracked,,,,,9094292.0,ns,32
macro untracked,,,,,10317666.0,ns,36
macro untracked,,,,,11417416.0,ns,40
macro untracked,,,,,12456333.0,ns,44
macro untracked,,,,,13611000.0,ns,48
macro untracked,,,,,14711292.0,ns,52
macro untracked,,,,,15970625.0,ns,56
macro untracked,,,,,17107792.0,ns,60
macro untracked,,,,,18260084.0,ns,64
macro untracked,,,,,19439083.0,ns,68
macro untracked,,,,,20370750.0,ns,72
macro untracked,,,,,21807375.0,ns,76
macro untracked,,,,,22650750.0,ns,80
macro untracked,,,,,24149792.0,ns,84
macro untracked,,,,,25117542.0,ns,88
macro untracked,,,,,26453167.0,ns,92
macro untracked,,,,,27300250.0,ns,96
macro untracked,,,,,28752917.0,ns,100
macro untracked,,,,,29781125.0,ns,104
macro untracked,,,,,30777541.0,ns,108
macro untracked,,,,,32250666.0,ns,112
macro untracked,,,,,33426583.0,ns,116
macro untracked,,,,,34719834.0,ns,120
macro untracked,,,,,35833333.0,ns,124
macro untracked,,,,,34750916.0,ns,128
macro untracked,,,,,37276125.0,ns,132
macro untracked,,,,,39058209.0,ns,136
macro untracked,,,,,40780958.0,ns,140
macro untracked,,,,,41099125.0,ns,144
macro untracked,,,,,42597166.0,ns,148
macro untracked,,,,,42526291.0,ns,152
macro untracked,,,,,44352041.0,ns,156
macro untracked,,,,,46058209.0,ns,160
macro untracked,,,,,47129791.0,ns,164
macro untracked,,,,,47803166.0,ns,168
macro untracked,,,,,49670625.0,ns,172
macro untracked,,,,,50358583.0,ns,176
macro untracked,,,,,51476292.0,ns,180
macro untracked,,,,,52441167.0,ns,184
macro untracked,,,,,53801084.0,ns,188
macro untracked,,,,,54767916.0,ns,192
macro untracked,,,,,56342209.0,ns,196
macro untracked,,,,,56826083.0,ns,200
macro untracked,,,,,59371000.0,ns,204
macro untracked,,,,,59313916.0,ns,208
macro untracked,,,,,61159125.0,ns,212
macro untracked,,,,,61912083.0,ns,216
macro untracked,,,,,63516459.0,ns,220
macro untracked,,,,,65187250.0,ns,224
macro untracked,,,,,64739750.0,ns,228
macro untracked,,,,,66756000.0,ns,232
macro untracked,,,,,67727125.0,ns,236
macro untracked,,,,,69135833.0,ns,240
macro untracked,,,,,70636334.0,ns,244
macro untracked,,,,,70846500.0,ns,248
macro untracked,,,,,72423875.0,ns,252
macro untracked,,,,,73783125.0,ns,256
macro untracked,,,,,74599584.0,ns,260
macro untracked,,,,,76171583.0,ns,264
macro untracked,,,,,76755333.0,ns,268
macro untracked,,,,,77451542.0,ns,272
macro untracked,,,,,79974000.0,ns,276
macro untracked,,,,,80716583.0,ns,280
macro untracked,,,,,80578833.0,ns,284
macro untracked,,,,,81219250.0,ns,288
macro untracked,,,,,84287917.0,ns,292
macro untracked,,,,,84811125.0,ns,296
macro untracked,,,,,84025250.0,ns,300
macro untracked,,,,,86925417.0,ns,304
macro untracked,,,,,87735334.0,ns,308
macro untracked,,,,,89445541.0,ns,312
macro untracked,,,,,90652375.0,ns,316
macro untracked,,,,,90823292.0,ns,320
macro untracked,,,,,92326042.0,ns,324
macro untracked,,,,,95039292.0,ns,328
macro untracked,,,,,94910208.0,ns,332
macro untracked,,,,,96460416.0,ns,336
macro untracked,,,,,91686042.0,ns,340
macro untracked,,,,,97494084.0,ns,344
macro untracked,,,,,98892333.0,ns,348
macro untracked,,,,,100174333.0,ns,352
macro untracked,,,,,101430125.0,ns,356
macro untracked,,,,,100161708.0,ns,360
macro untracked,,,,,101802250.0,ns,364
macro untracked,,,,,105047000.0,ns,368
macro untracked,,,,,106936833.0,ns,372
macro untracked,,,,,106606958.0,ns,376
macro untracked,,,,,109159459.0,ns,380
macro untracked,,,,,109709166.0,ns,384
macro untracked,,,,,110099000.0,ns,388
macro untracked,,,,,111738042.0,ns,392
macro untracked,,,,,112933833.0,ns,396
macro untracked,,,,,114226875.0,ns,400
