group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
macro with textures,,,,,1195459.0,ns,4
macro with textures,,,,,2368291.0,ns,8
macro with textures,,,,,4068250.0,ns,12
macro with textures,,,,,4964792.0,ns,16
macro with textures,,,,,5611500.0,ns,20
macro with textures,,,,,6849000.0,ns,24
macro with textures,,,,,7968000.0,ns,28
macro with textures,,,,,9465041.0,ns,32
macro with textures,,,,,10285083.0,ns,36
macro with textures,,,,,11622375.0,ns,40
macro with textures,,,,,12627459.0,ns,44
macro with textures,,,,,13792333.0,ns,48
macro with textures,,,,,14848375.0,ns,52
macro with textures,,,,,15997542.0,ns,56
macro with textures,,,,,17180500.0,ns,60
macro with textures,,,,,18391166.0,ns,64
macro with textures,,,,,19307875.0,ns,68
macro with textures,,,,,20517041.0,ns,72
macro with textures,,,,,22007916.0,ns,76
macro with textures,,,,,22683583.0,ns,80
macro with textures,,,,,23725792.0,ns,84
macro with textures,,,,,25351500.0,ns,88
macro with textures,,,,,26573250.0,ns,92
macro with textures,,,,,27887542.0,ns,96
macro with textures,,,,,28588833.0,ns,100
macro with textures,,,,,29947417.0,ns,104
macro with textures,,,,,31158292.0,ns,108
macro with textures,,,,,31309250.0,ns,112
macro with textures,,,,,31823709.0,ns,116
macro with textures,,,,,33898834.0,ns,120
macro with textures,,,,,36173959.0,ns,124
macro with textures,,,,,36517458.0,ns,128
macro with textures,,,,,38072667.0,ns,132
macro with textures,,,,,39509083.0,ns,136
macro with textures,,,,,40485416.0,ns,140
macro with textures,,,,,41076750.0,ns,144
macro with textures,,,,,42854875.0,ns,148
macro with textures,,,,,43182833.0,ns,152
macro with textures,,,,,44939708.0,ns,156
macro with textures,,,,,46947042.0,ns,160
macro with textures,,,,,46620084.0,ns,164
macro with textures,,,,,48339625.0,ns,168
macro with textures,,,,,49302292.0,ns,172
macro with textures,,,,,50436791.0,ns,176
macro with textures,,,,,51925584.0,ns,180
macro with textures,,,,,52571416.0,ns,184
macro with textures,,,,,53895042.0,ns,188
macro with textures,,,,,55440667.0,ns,192
macro with textures,,,,,56634083.0,ns,196
macro with textures,,,,,58642125.0,ns,200
macro with textures,,,,,59922625.0,ns,204
macro with textures,,,,,59891208.0,ns,208
macro with textures,,,,,61399041.0,ns,212
macro with textures,,,,,62489584.0,ns,216
macro with textures,,,,,63569750.0,ns,220
macro with textures,,,,,64678500.0,ns,224
macro with textures,,,,,65448458.0,ns,228
macro with textures,,,,,66497042.0,ns,232
macro with textures,,,,,67870042.0,ns,236
macro with textures,,,,,68823458.0,ns,240
macro with textures,,,,,68924875.0,ns,244
macro with textures,,,,,71362000.0,ns,248
macro with textures,,,,,72225417.0,ns,252
macro with textures,,,,,74237208.0,ns,256
macro with textures,,,,,75181167.0,ns,260
macro with textures,,,,,76732958.0,ns,264
macro with textures,,,,,77456666.0,ns,268
macro with textures,,,,,78813917.0,ns,272
macro with textures,,,,,79839709.0,ns,276
macro with textures,,,,,81049875.0,ns,280
macro with textures,,,,,82294917.0,ns,284
macro with textures,,,,,82334333.0,ns,288
macro with textures,,,,,83861292.0,ns,292
macro with textures,,,,,85404708.0,ns,296
macro with textures,,,,,84419459.0,ns,300
macro with textures,,,,,88067583.0,ns,304
macro with textures,,,,,88597667.0,ns,308
macro with textures,,,,,90205291.0,ns,312
macro with textures,,,,,91954208.0,ns,316
macro with textures,,,,,92392292.0,ns,320
macro with textures,,,,,93369584.0,ns,324
macro with textures,,,,,93457500.0,ns,328
macro with textures,,,,,94975166.0,ns,332
macro with textures,,,,,95335084.0,ns,336
macro with textures,,,,,97445000.0,ns,340
macro with textures,,,,,99558917.0,ns,344
macro with textures,,,,,101025875.0,ns,348
macro with textures,,,,,100341875.0,ns,352
macro with textures,,,,,102722625.0,ns,356
macro with textures,,,,,103024958.0,ns,360
macro with textures,,,,,105158292.0,ns,364
macro with textures,,,,,105819833.0,ns,368
macro with textures,,,,,106912542.0,ns,372
macro with textures,,,,,107562208.0,ns,376
macro with textures,,,,,108543042.0,ns,380
macro with textures,,,,,111043083.0,ns,384
macro with textures,,,,,111132417.0,ns,388
macro with textures,,,,,106069417.0,ns,392
macro with textures,,,,,112567125.0,ns,396
macro with textures,,,,,113100000.0,ns,400
