group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
macro,,,,,1080584.0,ns,4
macro,,,,,2169791.0,ns,8
macro,,,,,3944750.0,ns,12
macro,,,,,4929125.0,ns,16
macro,,,,,5741208.0,ns,20
macro,,,,,6719875.0,ns,24
macro,,,,,7943958.0,ns,28
macro,,,,,9200375.0,ns,32
macro,,,,,10013375.0,ns,36
macro,,,,,11358500.0,ns,40
macro,,,,,12657625.0,ns,44
macro,,,,,13831250.0,ns,48
macro,,,,,14866000.0,ns,52
macro,,,,,15937000.0,ns,56
macro,,,,,16888459.0,ns,60
macro,,,,,18022291.0,ns,64
macro,,,,,19440583.0,ns,68
macro,,,,,20305667.0,ns,72
macro,,,,,21745084.0,ns,76
macro,,,,,22540000.0,ns,80
macro,,,,,23804292.0,ns,84
macro,,,,,24525875.0,ns,88
macro,,,,,26237125.0,ns,92
macro,,,,,27666500.0,ns,96
macro,,,,,27873667.0,ns,100
macro,,,,,29546375.0,ns,104
macro,,,,,31022041.0,ns,108
macro,,,,,32170750.0,ns,112
macro,,,,,33056084.0,ns,116
macro,,,,,32113458.0,ns,120
macro,,,,,35066500.0,ns,124
macro,,,,,36200333.0,ns,128
macro,,,,,38005083.0,ns,132
macro,,,,,39436458.0,ns,136
macro,,,,,39237584.0,ns,140
macro,,,,,41415708.0,ns,144
macro,,,,,42383709.0,ns,148
macro,,,,,43312708.0,ns,152
macro,,,,,44473958.0,ns,156
macro,,,,,44047250.0,ns,160
macro,,,,,47246791.0,ns,164
macro,,,,,48293125.0,ns,168
macro,,,,,48042459.0,ns,172
macro,,,,,49908458.0,ns,176
macro,,,,,51114375.0,ns,180
macro,,,,,52491375.0,ns,184
macro,,,,,51561667.0,ns,188
macro,,,,,54603958.0,ns,192
macro,,,,,55572709.0,ns,196
macro,,,,,56878375.0,ns,200
macro,,,,,58233042.0,ns,204
macro,,,,,59736750.0,ns,208
macro,,,,,60476959.0,ns,212
macro,,,,,62048666.0,ns,216
macro,,,,,62920041.0,ns,220
macro,,,,,64304250.0,ns,224
macro,,,,,65732292.0,ns,228
macro,,,,,66241750.0,ns,232
macro,,,,,66442625.0,ns,236
macro,,,,,67917667.0,ns,240
macro,,,,,70409209.0,ns,244
macro,,,,,70848708.0,ns,248
macro,,,,,71731666.0,ns,252
macro,,,,,72947583.0,ns,256
macro,,,,,74056917.0,ns,260
macro,,,,,74516167.0,ns,264
macro,,,,,76049917.0,ns,268
macro,,,,,77499500.0,ns,272
macro,,,,,79314708.0,ns,276
macro,,,,,80209584.0,ns,280
macro,,,,,81756375.0,ns,284
macro,,,,,82781667.0,ns,288
macro,,,,,81868583.0,ns,292
macro,,,,,84413500.0,ns,296
macro,,,,,85503791.0,ns,300
macro,,,,,86874500.0,ns,304
macro,,,,,87835958.0,ns,308
macro,,,,,88942708.0,ns,312
macro,,,,,87876917.0,ns,316
macro,,,,,90701792.0,ns,320
macro,,,,,91756875.0,ns,324
macro,,,,,93639958.0,ns,328
macro,,,,,94504958.0,ns,332
macro,,,,,95764459.0,ns,336
macro,,,,,96725000.0,ns,340
macro,,,,,98479417.0,ns,344
macro,,,,,99018916.0,ns,348
macro,,,,,100426875.0,ns,352
macro,,,,,100005375.0,ns,356
macro,,,,,101916916.0,ns,360
macro,,,,,103003541.0,ns,364
macro,,,,,104687500.0,ns,368
macro,,,,,106505250.0,ns,372
macro,,,,,107565250.0,ns,376
macro,,,,,107560000.0,ns,380
macro,,,,,109851833.0,ns,384
macro,,,,,110122416.0,ns,388
macro,,,,,111785875.0,ns,392
macro,,,,,112287375.0,ns,396
macro,,,,,113610291.0,ns,400
