group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
matrix,,,,,1103083.0,ns,4
matrix,,,,,2316417.0,ns,8
matrix,,,,,4061625.0,ns,12
matrix,,,,,4521000.0,ns,16
matrix,,,,,6174500.0,ns,20
matrix,,,,,6972375.0,ns,24
matrix,,,,,8259958.0,ns,28
matrix,,,,,9233709.0,ns,32
matrix,,,,,10461875.0,ns,36
matrix,,,,,11692583.0,ns,40
matrix,,,,,12729000.0,ns,44
matrix,,,,,14061833.0,ns,48
matrix,,,,,13932834.0,ns,52
matrix,,,,,15592750.0,ns,56
matrix,,,,,17297833.0,ns,60
matrix,,,,,18541791.0,ns,64
matrix,,,,,19395916.0,ns,68
matrix,,,,,20832375.0,ns,72
matrix,,,,,21468542.0,ns,76
matrix,,,,,22898875.0,ns,80
matrix,,,,,23963458.0,ns,84
matrix,,,,,25342792.0,ns,88
matrix,,,,,26639125.0,ns,92
matrix,,,,,27233625.0,ns,96
matrix,,,,,28708208.0,ns,100
matrix,,,,,29773541.0,ns,104
matrix,,,,,30916625.0,ns,108
matrix,,,,,32090917.0,ns,112
matrix,,,,,32473167.0,ns,116
matrix,,,,,32619291.0,ns,120
matrix,,,,,35193250.0,ns,124
matrix,,,,,36666417.0,ns,128
matrix,,,,,38078500.0,ns,132
matrix,,,,,38506333.0,ns,136
matrix,,,,,40088166.0,ns,140
matrix,,,,,41180041.0,ns,144
matrix,,,,,42517375.0,ns,148
matrix,,,,,43178166.0,ns,152
matrix,,,,,45064291.0,ns,156
matrix,,,,,45795875.0,ns,160
matrix,,,,,47390875.0,ns,164
matrix,,,,,48112334.0,ns,168
matrix,,,,,49219792.0,ns,172
matrix,,,,,50435375.0,ns,176
matrix,,,,,51611000.0,ns,180
matrix,,,,,52446334.0,ns,184
matrix,,,,,54001666.0,ns,188
matrix,,,,,54601083.0,ns,192
matrix,,,,,56139792.0,ns,196
matrix,,,,,56683958.0,ns,200
matrix,,,,,57661709.0,ns,204
matrix,,,,,60160125.0,ns,208
matrix,,,,,60786959.0,ns,212
matrix,,,,,62156291.0,ns,216
matrix,,,,,63143834.0,ns,220
matrix,,,,,64575375.0,ns,224
matrix,,,,,66096084.0,ns,228
matrix,,,,,66775583.0,ns,232
matrix,,,,,68384625.0,ns,236
matrix,,,,,68894833.0,ns,240
matrix,,,,,70764542.0,ns,244
matrix,,,,,71206292.0,ns,248
matrix,,,,,72733000.0,ns,252
matrix,,,,,72991000.0,ns,256
matrix,,,,,74494125.0,ns,260
matrix,,,,,74821125.0,ns,264
matrix,,,,,76558708.0,ns,268
matrix,,,,,78887916.0,ns,272
matrix,,,,,79687750.0,ns,276
matrix,,,,,80525792.0,ns,280
matrix,,,,,81398833.0,ns,284
matrix,,,,,83028417.0,ns,288
matrix,,,,,84165500.0,ns,292
matrix,,,,,84035417.0,ns,296
matrix,,,,,85977500.0,ns,300
matrix,,,,,87632250.0,ns,304
matrix,,,,,88660500.0,ns,308
matrix,,,,,88625625.0,ns,312
matrix,,,,,90126708.0,ns,316
matrix,,,,,91618750.0,ns,320
matrix,,,,,93731000.0,ns,324
matrix,,,,,94182791.0,ns,328
matrix,,,,,95688792.0,ns,332
matrix,,,,,96724125.0,ns,336
matrix,,,,,95790709.0,ns,340
matrix,,,,,97256458.0,ns,344
matrix,,,,,100273500.0,ns,348
matrix,,,,,100206667.0,ns,352
matrix,,,,,101046833.0,ns,356
matrix,,,,,102752208.0,ns,360
matrix,,,,,103375750.0,ns,364
matrix,,,,,105323834.0,ns,368
matrix,,,,,106263458.0,ns,372
matrix,,,,,107451208.0,ns,376
matrix,,,,,107024542.0,ns,380
matrix,,,,,108619417.0,ns,384
matrix,,,,,111151458.0,ns,388
matrix,,,,,112070750.0,ns,392
matrix,,,,,113209917.0,ns,396
matrix,,,,,114188458.0,ns,400
