group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
render,,,,,1111459.0,ns,5
render,,,,,2234834.0,ns,10
render,,,,,3876167.0,ns,15
render,,,,,4177208.0,ns,20
render,,,,,4941708.0,ns,25
render,,,,,6488792.0,ns,30
render,,,,,7016166.0,ns,35
render,,,,,7786041.0,ns,40
render,,,,,8815917.0,ns,45
render,,,,,9522792.0,ns,50
render,,,,,10539625.0,ns,55
render,,,,,11828541.0,ns,60
render,,,,,14576292.0,ns,65
render,,,,,15191417.0,ns,70
render,,,,,16456417.0,ns,75
render,,,,,18133750.0,ns,80
render,,,,,18479125.0,ns,85
render,,,,,20066917.0,ns,90
render,,,,,20823167.0,ns,95
render,,,,,22365041.0,ns,100
render,,,,,23536834.0,ns,105
render,,,,,25298208.0,ns,110
render,,,,,26816584.0,ns,115
render,,,,,27097125.0,ns,120
render,,,,,28060042.0,ns,125
render,,,,,29860916.0,ns,130
render,,,,,31077208.0,ns,135
render,,,,,31182542.0,ns,140
render,,,,,31739541.0,ns,145
render,,,,,34023083.0,ns,150
render,,,,,34803125.0,ns,155
render,,,,,35995042.0,ns,160
render,,,,,37258500.0,ns,165
render,,,,,38718125.0,ns,170
render,,,,,39807125.0,ns,175
render,,,,,40374250.0,ns,180
render,,,,,41900625.0,ns,185
render,,,,,43338250.0,ns,190
render,,,,,44405833.0,ns,195
render,,,,,45254625.0,ns,200
render,,,,,46065291.0,ns,205
render,,,,,47578250.0,ns,210
render,,,,,48989667.0,ns,215
render,,,,,50512334.0,ns,220
render,,,,,51924417.0,ns,225
render,,,,,51845667.0,ns,230
render,,,,,53282416.0,ns,235
render,,,,,54388291.0,ns,240
render,,,,,48134625.0,ns,245
render,,,,,47880292.0,ns,250
render,,,,,53236584.0,ns,255
render,,,,,58004750.0,ns,260
render,,,,,59617583.0,ns,265
render,,,,,61933458.0,ns,270
render,,,,,62499084.0,ns,275
render,,,,,64224958.0,ns,280
render,,,,,65417417.0,ns,285
render,,,,,66508458.0,ns,290
render,,,,,68218708.0,ns,295
render,,,,,68368709.0,ns,300
render,,,,,69903916.0,ns,305
render,,,,,72130916.0,ns,310
render,,,,,70991959.0,ns,315
render,,,,,74242916.0,ns,320
render,,,,,72814500.0,ns,325
render,,,,,74631541.0,ns,330
render,,,,,76506500.0,ns,335
render,,,,,78048250.0,ns,340
render,,,,,77836250.0,ns,345
render,,,,,79343875.0,ns,350
render,,,,,80862584.0,ns,355
render,,,,,83020125.0,ns,360
render,,,,,84060625.0,ns,365
render,,,,,85132750.0,ns,370
render,,,,,86444583.0,ns,375
render,,,,,86778667.0,ns,380
render,,,,,88424042.0,ns,385
render,,,,,87280500.0,ns,390
render,,,,,89196500.0,ns,395
render,,,,,90392625.0,ns,400
render,,,,,91152458.0,ns,405
render,,,,,93055750.0,ns,410
render,,,,,93934709.0,ns,415
render,,,,,96131291.0,ns,420
render,,,,,97432792.0,ns,425
render,,,,,99377875.0,ns,430
render,,,,,100478459.0,ns,435
render,,,,,98977792.0,ns,440
render,,,,,101210917.0,ns,445
render,,,,,103273625.0,ns,450
render,,,,,103106792.0,ns,455
render,,,,,104000500.0,ns,460
render,,,,,105095125.0,ns,465
render,,,,,107609125.0,ns,470
render,,,,,108750542.0,ns,475
render,,,,,109703167.0,ns,480
render,,,,,111983083.0,ns,485
render,,,,,109977291.0,ns,490
render,,,,,112296166.0,ns,495
render,,,,,113863166.0,ns,500
